Aspect ratio b/a	x=u (mm)	y=F_{t,b/a} (N)
1.0
	0.0	0.0
	0.10626733333333327	0.0006756362173961206
	0.21253466666666654	0.001287751081019624
	0.31880200000000003	0.0019980353095650177
	0.4250693333333333	0.002725643543682947
	0.5313366666666666	0.0033204344017328646
	0.6376040000000001	0.003967197276505642
	0.7438713333333333	0.004596636145703782
	0.8501386666666666	0.005174102998179063
	0.9564059999999999	0.005728471176554828
	1.0626733333333331	0.00630016336050523
2.0
	0.0	0.0
	0.10626733333333327	0.0006987348914945856
	0.21253466666666676	0.0017324005574258427
	0.31880200000000003	0.002916207604999748
	0.4250693333333333	0.0041866346804457855
	0.5313366666666668	0.005197201672277527
	0.6376040000000001	0.006375234051326554
	0.7438713333333333	0.007403125048732932
	0.8501386666666666	0.008309748007118955
	0.9564059999999999	0.009476231049119275
	1.0626733333333336	0.010590742074396734
4.0
	0.0	0.0
	0.10626733333333327	0.0010163416603566203
	0.21253466666666676	0.002685220864010896
	0.31880200000000003	0.004608185482753539
	0.4250693333333333	0.006126923304763065
	0.5313366666666668	0.0077496051602183105
	0.6376040000000001	0.009129750937634946
	0.7438713333333333	0.010388628676031226
	0.8501386666666668	0.011122011578674033
	0.9564060000000001	0.01168215442557573
	1.0626733333333334	0.011942014509188975
7.0
	0.0	0.0
	0.10626733333333327	0.0010221163288814993
	0.21253466666666676	0.0020846553374361
	0.31880200000000003	0.0032280397053369037
	0.4250693333333333	0.004544664128980922
	0.5313366666666668	0.005595653800485765
	0.6376040000000001	0.006502276758871788
	0.7438713333333333	0.007045095600198846
	0.8501386666666666	0.007247208998565404
	0.9564059999999999	0.007356927700536002
	1.0626733333333336	0.007241434330040526
10.0
	0.0	0.0
	0.10626733333333327	0.0005601428469006442
	0.21253466666666676	0.001437892462663323
	0.31880200000000003	0.002292543404326487
	0.4250693333333333	0.0029393062790992633
	0.5313366666666668	0.003539871805673009
	0.6376040000000001	0.00392677459683149
	0.7438713333333333	0.003996070619128985
	0.8501386666666668	0.0040191692932274505
	0.9564060000000001	0.0040191692932274505
	1.0626733333333334	0.004105789321099583
