Aspect ratio b/a	x=w (mm)	y=F_{n,b/a} (N)
1
	0.0	-0.00012371418535495217
	0.01906384199134199	0.0011994897101836436
	0.03812768398268398	0.005260542316407869
	0.057191525974025964	0.013683864675808784
	0.07625536796536796	0.023780017976317108
	0.09531920995670995	0.033332904636787314
	0.11438305194805193	0.04103545739455358
	0.13344689393939393	0.050184928233213404
	0.1525107359307359	0.0592214426417658
	0.1715745779220779	0.0680481808229771
	0.1906384199134199	0.07513216265396763
	0.20970226190476188	0.08320047909017549
	0.22876610389610386	0.09111280807528382
	0.24782994588744586	0.09914347236812286
	0.26689378787878787	0.10615752878999904
	0.28595762987012985	0.11482290064248658
	0.3050214718614718	0.12375721637618008
	0.3240853138528138	0.132826004050478
	0.3431491558441558	0.14036181160189626
	0.3622129978354978	0.14904332008725557
	0.3812768398268398	0.15665443192541145
	0.4003406818181818	0.16318438936111634
	0.41940452380952375	0.16825129208305492
	0.43846836580086573	0.17491572145936227
	0.4575322077922077	0.18241925574503598
	0.47659604978354975	0.1905574975903572
	0.4956598917748917	0.1976307216660992
	0.5147237337662337	0.2058496466757833
	0.5337875757575757	0.21328325555234262
	0.5528514177489177	0.22006602023638167
	0.5719152597402597	0.2256815684759826
	0.5909791017316016	0.2328354757160865
	0.6100429437229437	0.24050037633048396
	0.6291067857142857	0.24835891653935072
	0.6481706277056276	0.25483508519881304
	0.6672344696969696	0.2624999858132105
	0.6862983116883116	0.270207917448601
	0.7053621536796536	0.2777275883671465
	0.7244259956709956	0.2838702666139128
	0.7434898376623376	0.29121781344848596
	0.7625536796536796	0.2990333226363597
	0.7816175216450215	0.3074458872405121
	0.8006813636363636	0.3147288875435962
	0.8197452056277056	0.3237169920535312
	0.8388090476190475	0.3326513077872257
	0.8578728896103895	0.3413973628040751
	0.8769367316017315	0.34833073606158943
	0.8960005735930735	0.35641518913067005
	0.9150644155844154	0.36437054913677047
	0.9341282575757575	0.37224522597851
	0.9531920995670995	0.37892041311006586
	0.9531920995670995	0.37892041311006586
	0.9722559415584414	0.38702638168964254
	0.9913197835497835	0.39499249945099146
	1.0103836255411254	0.4025982324115241
2
	0.0	0.0001021986748589067
	0.01906384199134199	0.0012532784864242466
	0.03812768398268398	0.0043031020993108526
	0.057191525974025964	0.010478053611822668
	0.07625536796536796	0.018137575348595867
	0.09531920995670995	0.025888538004979464
	0.11438305194805193	0.03251531523791802
	0.13344689393939393	0.04066431483848775
	0.1525107359307359	0.049249003526613405
	0.1715745779220779	0.057995058543461854
	0.1906384199134199	0.06521351231505584
	0.20970226190476188	0.07336251191562655
	0.22876610389610386	0.08090907722229233
	0.24782994588744586	0.08812215211626208
	0.26689378787878787	0.09439930230363182
	0.28595762987012985	0.10241382996359906
	0.3050214718614718	0.110691922627148
	0.3240853138528138	0.11758226486366924
	0.3431491558441558	0.12601634497831865
	0.3622129978354978	0.13449345611396116
	0.3812768398268398	0.14249722601867892
	0.4003406818181818	0.1487528606955526
	0.41940452380952375	0.15592290456852928
	0.43846836580086573	0.16314673721774753
	0.4575322077922077	0.1705857249719311
	0.47659604978354975	0.17701886261040037
	0.4956598917748917	0.1848827816968914
	0.5147237337662337	0.1927628374162542
	0.5337875757575757	0.20040622252015464
	0.5528514177489177	0.20655965852216943
	0.5719152597402597	0.21347689514681192
	0.5909791017316016	0.21991541166290543
	0.6100429437229437	0.22599354337818262
	0.6291067857142857	0.23049566394958604
	0.6481706277056276	0.2341963317549939
	0.6481706277056276	0.2341963317549939
	0.6672344696969696	0.23523445513645183
	0.6862983116883116	0.23422322614311422
	0.7053621536796536	0.23264721499924146
	0.7244259956709956	0.23127560120508653
	0.7434898376623376	0.231264843449838
	0.7625536796536796	0.23273865591885184
	0.7816175216450215	0.234884828090883
	0.8006813636363636	0.2382788998717142
	0.8197452056277056	0.24221623829258443
	0.8388090476190475	0.24665919121012203
	0.8578728896103895	0.25051584646662944
	0.8769367316017315	0.2550986502023957
	0.8960005735930735	0.2594878143436927
	0.9150644155844154	0.26401145042559315
	0.9341282575757575	0.2679057578254694
	0.9531920995670995	0.2727467476871941
	0.9722559415584414	0.2776576629580331
	0.9913197835497835	0.2825147894526306
	1.0103836255411254	0.2864897800168687
4
	0.0	0.00013447194060346414
	0.01906384199134199	0.001801924004086615
	0.03812768398268398	0.0061426782467662805
	0.057191525974025964	0.014824186732125611
	0.07625536796536796	0.02488268788926512
	0.09531920995670995	0.03436564914062098
	0.11438305194805193	0.04203054975501844
