x=Aspect Ratio b/a	y1=Effective Cut Length	y1err=Standard Deviation of Effective Cut Length	y2=Cutting Probability
0.10	0.0	0.0	0.0
0.14	0.0	0.0	0.0
0.25	0.0	0.0	0.0
0.50	0.0	0.0	0.0
1.00	0.3003541927102483	0.1304254906462452	0.4444444444444444
2.00	0.9427673586734864	0.035329732021872916	1.0
4.00	0.7378346931637293	0.10222557769602482	0.8888888888888888
7.00	0.4630532982985418	0.15889971469975453	0.6666666666666666
10.00	0.2273950727352752	0.1401648530567744	0.25
