x=Aspect Ratio b/a	y1=Experimental F_{t,b/a}(u_0)/F_{t,1}(u_0)	y1err=Experimental Standard Deviation	y2=Simulation F_{t,b/a}(u_0)/F_{t,1}(u_0)
0.1	0.2321428571428571	0.21757131728816853	0.06629486422052808
0.14	0.17857142857142855	0.28284271247461906	0.13725357952365888
0.25	0.2678571428571428	0.16329931618554522	0.261240186399963
0.5	0.48214285714285715	0.3142696805273544	0.541346360086447
1.0	1.0	0.18471572201408223	1.0
2.0	1.7857142857142856	0.22759613353482092	1.7043292041455276
4.0	2.7678571428571423	0.15510729393769437	2.5829795025591067
7.0	2.303571428571428	0.0657773749940974	3.2874547301801083
10.0	1.0892857142857142	0.12267729136963745	2.7664684720750228
