Aspect ratio b/a	x=u (mm)	y=F_{t,b/a} (N)
1.0
	0.0	0.0
	0.10626733333333327	0.0006756362173961206
	0.21253466666666654	0.001287751081019624
	0.31880200000000003	0.0019980353095650177
	0.4250693333333333	0.002725643543682947
	0.5313366666666666	0.0033204344017328646
	0.6376040000000001	0.003967197276505642
	0.7438713333333333	0.004596636145703782
	0.8501386666666666	0.005174102998179063
	0.9564059999999999	0.005728471176554828
	1.0626733333333331	0.00630016336050523
0.5
	0.0	0.0
	0.10626733333333327	0.00024831074656453877
	0.21253466666666654	0.0005081708301788354
	0.31880200000000003	0.0007160588970692222
	0.4250693333333333	0.000964369643633761
	0.5313366666666666	0.0011376096993769755
	0.6376039999999998	0.001333948429218655
	0.7438713333333331	0.001593808512831901
	0.8501386666666668	0.00184211925939644
	0.9564060000000001	0.0019345139557924009
	1.0626733333333334	0.0019171899502177642
0.25
	0.0	0.0
	0.10626733333333327	0.00016169071869240635
	0.21253466666666654	0.0003176067688609843
	0.3188020000000007	0.0004850721560793199
	0.42506933333333397	0.0006583122118214838
	0.5313366666666672	0.000779580250841839
	0.6376040000000005	0.0008257775990398195
	0.7438713333333338	0.0009239469639606593
	0.850138666666667	0.0010394403344550851
	0.9564060000000003	0.0012126803901982997
	1.0626733333333336	0.0014263431256135654
0.14
	0.0	0.0
	0.10626733333333327	9.816936492083975e-05
	0.21253466666666654	0.00016169071869240637
	0.31880200000000003	0.00024253607803965995
	0.4250693333333333	0.0003580294485340859
	0.5313366666666666	0.0005601428469006442
	0.6376039999999998	0.0007795802508407888
	0.7438713333333331	0.0009181722954357805
	0.8501386666666668	0.0011318350308510462
	0.9564060000000001	0.0011607083734743902
	1.0626733333333334	0.0012184550587221283
0.1
	0.0	0.0
	0.10626733333333327	7.50706908213244e-05
	0.21253466666666743	0.0001616907186924065
	0.3188020000000007	0.00028873342623764045
	0.42506933333333397	0.00034070544296049983
	0.5313366666666672	0.0004331001393564607
	0.6376040000000005	0.0005197201672275426
	0.7438713333333338	0.0006294388691981401
	0.850138666666667	0.0007333829026428082
	0.9564060000000003	0.0008257775990387693
	1.0626733333333336	0.0009585949751088822
