Aspect Ratio b/a	x=w (mm)	y=F_{n,b/a} (N)
10
	0.0	3.9369202290308655e-15
	0.005000000000000088	0.0007339500353126495
	0.010000000000000092	0.0033689335464773
	0.015000000000000097	0.005940327602014
	0.0200000000000001	0.008490201629417
	0.025000000000000105	0.0108973974085682
	0.03000000000000011	0.0128332178918777
	0.035000000000000114	0.0134312639091699
	0.04000000000000012	0.0135384335601613
	0.04500000000000012	0.0137806405958962
	0.05000000000000013	0.0138744533350222
	0.05500000000000008	0.0139955271765485
	0.06000000000000008	0.0140565725926572
	0.0650000000000002	0.014117308013829
	0.07000000000000009	0.0141588120253093
	0.0750000000000001	0.014199696771582
	0.0800000000000001	0.0142363544747085
	0.0850000000000001	0.0142604663061237
	0.09000000000000011	0.0142896545114612
	0.09500000000000011	0.0143150817200114
	0.10000000000000012	0.0143335432828419
	0.10500000000000012	0.0143581854821854
	0.11000000000000013	0.0143776833286109
	0.11500000000000007	0.0143970448454307
	0.12000000000000008	0.0144146922138535
	0.12500000000000008	0.0144282886961248
	0.1300000000000001	0.0144477695676474
	0.1350000000000001	0.0144628923607435
	0.1400000000000001	0.0144741713683297
	0.1450000000000001	0.0144915882383255
	0.1500000000000001	0.0145058072135086
	0.1550000000000001	0.0145194475485661
	0.16000000000000011	0.0145332105329314
	0.16500000000000012	0.0145470949757293
	0.17000000000000012	0.0145567604795537
	0.17500000000000013	0.0145700491526225
	0.18000000000000008	0.0145841490517891
	0.18500000000000008	0.0145949564497836
	0.1900000000000002	0.0146039652002085
	0.1950000000000001	0.0146181524579883
	0.2000000000000001	0.0146294676209711
	0.2050000000000001	0.0146405044107871
	0.21	0.0146513418903686
	0.215	0.0146633633714919
	0.2200000000000001	0.0146746486073131
	0.225	0.0146830186614529
	0.23	0.014693341153009
	0.23500000000000001	0.0147050879509614
	0.24000000000000007	0.0147166189984938
	0.24500000000000008	0.0147249772655213
	0.2500000000000001	0.014732994614724
	0.2550000000000001	0.0147461521738693
	0.2600000000000001	0.0147559811855304
	0.2650000000000001	0.0147656956880966
	0.27000000000000013	0.0147753102241012
	0.27500000000000013	0.0147848104310972
	0.28000000000000014	0.0147967496649392
	0.28500000000000014	0.0148059363235581
	0.29000000000000015	0.0148137151809304
	0.29500000000000015	0.0148230779600285
	0.30000000000000027	0.0148335224690692
	0.30500000000000016	0.0148438494814953
	0.31000000000000016	0.014853017379667
	0.31500000000000017	0.0148606935575604
	0.3200000000000002	0.0148695697391547
	0.3250000000000002	0.0148814122413662
	0.3300000000000002	0.0148904775712572
	0.3350000000000002	0.0148994760971488
	0.3400000000000002	0.0149084172690609
	0.3450000000000002	0.0149173160946479
	0.3500000000000002	0.0149273219302735
	0.3550000000000002	0.01493839682462
	0.3600000000000003	0.0149460189223173
	0.3650000000000002	0.0149536352610125
	0.3700000000000001	0.0149631634966025
	0.3750000000000001	0.0149729022200016
	0.3800000000000001	0.0149825220159889
	0.3850000000000001	0.0149918468556904
	0.3900000000000001	0.0149994447722025
	0.39500000000000013	0.015007037565684
	0.40000000000000013	0.0150180158964481
7
	0.0	-1.0902928416340974e-14
	0.0050000000000001155	0.0014520740084566
	0.010000000000000009	0.0048708750131006
	0.015000000000000097	0.0075927614411467
	0.0200000000000001	0.0101819335598762
	0.025000000000000105	0.0127630824100977
	0.03000000000000011	0.0153641498240982
	0.035000000000000114	0.0179512965862263
	0.04000000000000012	0.0203373168236947
	0.04500000000000012	0.0203563914795133
	0.05000000000000013	0.0207187877566111
	0.05500000000000013	0.0206880022368848
	0.06000000000000014	0.0207561408640484
	0.06500000000000009	0.0207821779437065
	0.07000000000000009	0.0208062272889762
	0.0750000000000002	0.0208208237867814
	0.0800000000000001	0.0208367500148892
	0.0850000000000001	0.0208501315780488
	0.09000000000000011	0.0208701177258335
	0.09500000000000011	0.0208689926297712
	0.10000000000000012	0.0208912679516463
	0.10500000000000012	0.0208990055833564
	0.11000000000000013	0.0209100053975785
	0.11500000000000013	0.0209240669674953
	0.12000000000000013	0.0209363387584864
	0.12500000000000008	0.0209400396785562
	0.1300000000000001	0.0209579822916881
	0.1350000000000001	0.0209676441972322
	0.1400000000000001	0.0209778669161528
	0.1450000000000001	0.0209861973209723
	0.1500000000000001	0.0210013138008055
	0.1550000000000001	0.021012239689228
	0.16000000000000011	0.0210157130899356
	0.16500000000000012	0.0210311520746381
	0.17000000000000012	0.0210436863297675
	0.17500000000000013	0.0210520692330009
	0.18000000000000013	0.0210632041181859
	0.18500000000000014	0.0210718104503537
	0.19000000000000009	0.0210858544414671
	0.1950000000000001	0.0210985465608062
	0.2000000000000002	0.0211032794454762
	0.2050000000000001	0.0211139519295753
	0.2100000000000001	0.0211278348006412
	0.2150000000000001	0.0211381953856717
	0.22	0.0211469423322765
	0.225	0.0211584749139188
	0.23000000000000012	0.0211672737848429
	0.23500000000000001	0.0211797553504976
	0.24000000000000002	0.0211929116344844
	0.24500000000000002	0.0212011782098692
	0.2500000000000001	0.0212075036969559
	0.2550000000000001	0.021220577944254
	0.2600000000000001	0.0212334531305222
	0.2650000000000001	0.0212434877476497
	0.27000000000000013	0.0212524208026417
	0.27500000000000013	0.0212644445777865
	0.28000000000000014	0.0212735003082759
	0.28500000000000014	0.0212843888820568
	0.29000000000000015	0.0212969228440738
	0.29500000000000015	0.0213093379476822
	0.30000000000000016	0.0213162294757746
	0.30500000000000016	0.0213247412951687
	0.3100000000000003	0.0213371664738388
	0.31500000000000017	0.0213495217970726
	0.3200000000000002	0.0213600855342771
	0.3250000000000002	0.0213693086794537
	0.3300000000000002	0.0213812819006554
	0.3350000000000002	0.0213910830685558
	0.3400000000000002	0.0214005302329944
	0.3450000000000002	0.0214127205100088
	0.3500000000000002	0.0214248734430258
	0.3550000000000002	0.0214365893374878
	0.3600000000000002	0.0214439939611672
	0.3650000000000002	0.0214534178629558
	0.37000000000000033	0.0214655967613406
	0.3750000000000002	0.0214777192194834
	0.3800000000000001	0.0214892096394314
	0.3850000000000001	0.0214987171461001
	0.3900000000000001	0.0215096041958518
	0.39500000000000013	0.0215213186085478
	0.40000000000000013	0.0215308541281994
1
	0.0	0.0003856341233171149
	0.0	0.0003856341233171149
	0.0050000000000000044	0.0027272609577782
	0.010000000000000009	0.0049400222408315
	0.015	0.0071900666656217
	0.019999999999999907	0.0094667929897036
	0.024999999999999897	0.0117573986290716
	0.03	0.0140565293230821
	0.035	0.0163628368132756
	0.04000000000000001	0.0186786934790939
	0.04500000000000001	0.0209976817007116
	0.05000000000000002	0.0233202458474473
	0.05499999999999999	0.0256471951837847
	0.06	0.0279739188596579
	0.065	0.0303050471506287
	0.07	0.0326335579175751
	0.07500000000000001	0.0349669992641286
	0.08000000000000002	0.0372964982236326
	0.08499999999999999	0.0396290352705867
	0.09	0.0419581258292496
	0.095	0.0442878769141253
	0.1	0.0466162326349069
	0.10500000000000001	0.048942467786608
	0.11000000000000001	0.0512685459651393
	0.11499999999999999	0.0535905469779596
	0.12	0.0559140780853565
	0.125	0.0582320532628122
	0.1299999999999999	0.0605494175218746
	0.135	0.062864627240865
	0.1399999999999999	0.0651759708761142
