Aspect Ratio b/a	x=u (mm)	y=F_{t,b/a} (N)
1.0
	0.0	0.0
	0.02	0.0007162705206982091
	0.04	0.0014327260986439
	0.060000000000000005	0.0021494263136936
	0.08	0.0028665361411467
	0.1	0.003584189994035
	0.12000000000000001	0.0043025247576757
	0.13999999999999999	0.0050216780507648
	0.16	0.0057417883735443
	0.18000000000000002	0.0064629952567365
	0.2	0.0071854394111415
	0.22000000000000003	0.0079092628777032
	0.24000000000000002	0.0086346091777223
	0.26	0.0093616234627443
	0.28	0.0100904526634617
	0.30000000000000004	0.0108212456367428
	0.32	0.0115541533096233
	0.34	0.012289328818771
	0.36000000000000004	0.0130269276435431
	0.38	0.0137671077303053
	0.4	0.0145100296051551
	0.42000000000000004	0.0152558564716043
	0.44000000000000006	0.0160047542891136
	0.46	0.0167568918276737
	0.48000000000000004	0.0175124406928924
	0.5	0.0182715753153501
	0.52	0.0190344728973712
	0.54	0.0198013133099396
	0.56	0.0205722789323771
	0.58	0.0213475544277688
	0.6000000000000001	0.0221273264481098
	0.62	0.0229117832649261
	0.64	0.0237011143237835
	0.6600000000000001	0.024495509724618
	0.68	0.0252951596340557
	0.7000000000000001	0.0261002536404621
	0.7200000000000001	0.026910980066848
	0.7400000000000001	0.0277275252603448
	0.76	0.028550072879155
	0.7800000000000001	0.0293788031982782
	0.8	0.0302138924538662
	0.8200000000000001	0.0310555122430142
	0.8400000000000001	0.0319038289917399
	0.8600000000000001	0.0327590034994922
	0.8800000000000001	0.0336211905643972
	0.9000000000000002	0.0344905386899933
	0.92	0.0353671898716184
	0.94	0.0362512794588385
	0.9600000000000001	0.037142936089188
	0.98	0.0380422816878314
	1.0	0.0389494315273651
0.5
	0.0	0.0
	0.02	0.0003859194751414831
	0.04	0.0007719767587588168
	0.060000000000000005	0.0011582111418102
	0.08	0.0015447510964448
	0.1	0.0019316942730597
	0.12000000000000001	0.0023191422776408
	0.13999999999999999	0.002707197212043
	0.16	0.0030959617598482
	0.18000000000000002	0.0034855392672671
	0.2	0.003876033818205
	0.22000000000000003	0.0042675503025555
	0.24000000000000002	0.0046601944766859
	0.26	0.0050540730149861
	0.28	0.0054492935512437
	0.30000000000000004	0.0058459647085016
	0.32	0.006244196115947
	0.34	0.0066440984112729
	0.36000000000000004	0.0070457832268562
	0.38	0.0074493631580094
	0.4	0.0078549517114973
	0.42000000000000004	0.0082626632324704
	0.44000000000000006	0.0086726128079703
	0.46	0.0090849161452141
	0.48000000000000004	0.0094996894229932
	0.5	0.0099170491147405
	0.52	0.010337111782152
	0.54	0.010759993838727
	0.56	0.0111858112832402
	0.58	0.0116146794039899
	0.6000000000000001	0.0120467124557119
	0.62	0.0124820233122838
	0.64	0.0129207230997473
	0.6600000000000001	0.0133629208156882
	0.68	0.0138087229425189
	0.7000000000000001	0.0142582330635904
	0.7200000000000001	0.0147115514921424
	0.7400000000000001	0.0151687749237187
	0.76	0.0156299961226905
	0.7800000000000001	0.0160953036528324
	0.8	0.0165647816604814
	0.8200000000000001	0.0170385097167387
	0.8400000000000001	0.0175165627226254
	0.8600000000000001	0.0179990108782995
	0.8800000000000001	0.0184859197146571
